Last updated Sep 1, 2005 4:58:41 PM ET 
A.M. CASTLE & COMPANY CAS 15.71 0.55  3.63 31.57 17.97 8.99 7.79 
AAR CORP AIR 17.79 0.19  1.08 30.62 18.45 10.51 38.26 
ABBOTT LABORATORIES ABT 45.14 0.01  0.02 -3.24 50.00 40.25 20.33 
AFTERMARKET TECH CORP ATAC 16.89 -0.31  -1.80 4.91 18.84 11.35 44.10 
AKORN INCORPORATED AKN 2.68 -0.08  -2.90 -30.03 4.30 2.17 - 
AKSYS LTD AKSY 2.12 -0.10  -4.50 -61.87 7.05 1.85 - 
ALBERTO-CULVER CO ACV 42.35 -0.60  -1.40 -12.81 56.31 41.61 19.98 
ALLSCRIPTS HLTHCR SOLTNS MDRX 17.90 0.12  0.67 67.76 18.68 6.47 136.77 
ALLSTATE CORPORATION ALL 55.79 -0.42  -0.75 7.87 63.22 45.50 11.06 
AMERICAN PHARMACEU PRTNR APPX 46.39 0.41  0.89 24.00 58.73 21.28 42.18 
AMLI RESIDENTIAL PROPS AML 32.11 0.54  1.71 0.34 33.49 26.76 22.71 
ANDREW CORP ANDW 11.52 -0.01  -0.09 -15.48 15.49 10.56 60.68 
ANIXTER INTERNATIONAL AXE 38.22 0.04  0.10 6.20 42.16 31.16 17.28 
AON CORP AOC 30.50 0.58  1.94 27.83 30.27 18.15 17.00 
APAC CUSTOMER SERVICES APAC 0.80 0.00  0.00 -54.02 2.00 0.65 - 
APTARGROUP INC ATR 49.80 0.07  0.14 -5.65 54.89 43.33 18.15 
ARCHER DANIELS MIDLAND ADM 23.48 0.97  4.31 5.24 25.37 16.05 14.16 
ARGOSY GAMING CO AGY 46.70 0.04  0.09 0.00 46.97 33.29 16.97 
ARTHUR J. GALLAGHER & CO AJG 29.01 0.45  1.58 -10.74 34.12 25.42 33.60 
BAB INC BABB 1.15 0.00  0.00 40.24 1.30 0.57 0.00 
BALLY TOTAL FIT HLDG BFT 3.82 0.23  6.41 -9.91 4.72 2.84 - 
BAXTER INTERNATIONAL INC BAX 39.98 -0.35  -0.87 15.75 40.56 29.35 26.89 
BOEING CO BA 65.99 -1.03  -1.54 27.47 68.38 48.10 31.76 
BORG WARNER INC BWA 58.26 -0.20  -0.34 7.55 61.07 39.50 14.73 
BRUNSWICK CORP BC 43.00 -1.00  -2.27 -13.13 49.85 38.96 12.75 
CABOT MICROELECTRONICS CCMP 29.60 -0.21  -0.70 -26.13 41.98 25.50 19.74 
CAREER EDUCATION CORP CECO 39.49 0.29  0.74 -1.27 43.09 26.22 19.41 
CATERPILLAR INC CAT 56.94 1.45  2.61 -41.61 55.65 36.13 16.42 
CDW CORPORATION CDWC 58.46 -0.62  -1.05 -11.89 68.26 51.86 19.63 
CGI HOLDING CORP THK 2.15 0.01  0.47 -64.17 6.25 1.92 23.78 
CHICAGO MERCANTILE EX HD CME 301.13 23.53  8.48 31.67 315.00 132.57 35.73 
CLARCOR INC CLC 28.62 0.32  1.13 -47.75 31.79 22.05 21.60 
CNA FINANCIAL CORP CNA 28.85 -0.12  -0.41 7.85 30.45 21.63 11.02 
COOLSAVINGS INC CSAV 0.55 -0.07  -11.29 37.50 1.24 0.28 62.00 
DADE BEHRING HLDGS INC DADE 37.43 0.84  2.30 -33.16 38.71 25.76 40.21 
DEERE & CO DE 64.89 -0.49  -0.75 -12.78 74.73 56.72 10.36 
DEVRY INC DV 18.59 0.12  0.65 7.09 24.48 13.00 48.61 
ELOYALTY CORPORATION ELOY 6.20 -0.19  -2.97 5.44 8.37 4.11 - 
EQUITY OFFICE PROP TRUST EOP 33.53 0.23  0.69 15.14 35.79 26.67 - 
EQUITY RESIDENTIAL EQR 38.00 0.23  0.61 5.03 40.74 30.30 19.11 
EXELON CORPORATION EXC 53.95 0.06  0.11 22.42 54.88 35.99 18.39 
